Baker Name,Series,Baker Age,Baker Occupation,Hometown
Ali Imdad,4,25,Charity worker,"Saltley, Birmingham"
Alice Fevronia,10,28,Geography teacher,Essex
Alvin Magallanes,6,37,Nurse,"Bracknell, Berkshire"
Amelia LeBruin,10,24,Fashion designer,Halifax
Andrew Smyth,7,25,Aerospace engineer,"Derby / Holywood, County Down"
Annetha Mills,1,30,Midwife,Essex
Antony Amourdoux,9,30,Banker,London
Beca Lyne-Pirkis,4,31,Military Wives' Choir Singer,"Aldershot, Hampshire"
Ben Frazer,2,31,Graphic Designer,Northampton
Benjamina Ebuehi,7,23,Teaching assistant,South London
Brendan Lynch,3,63,Recruitment consultant,Sutton Coldfield
Briony Williams,9,33,Full-time parent,Bristol
Candice Brown,7,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Cathryn Dresser,3,27,Shop assistant,"Pease Pottage, West Sussex"
Chetna Makan,5,35,Fashion Designer,"Broadstairs, Kent"
Chris Geiger,8,50,Software developer,Bristol
Christine Wallace,4,66,Director of an engraving company,"Didcot, Oxfordshire"
Yan Tsou,8,46,Laboratory research scientist,North London
Claire Goodwin,5,31,Speech Therapist,"Ashton upon Mersey, Trafford"
Dan Beasley-Harling,9,36,Full-time parent,London
Dan Chambers,10,32,Support worker,Rotherham
Danny Bryden,3,45,Intensive care consultant,Sheffield
David Atherton,10,36,International health adviser,Whitby
David Chambers,1,31,Entrepreneur,Milton Keynes
Deborah Manger,4,51,Dentist,Peterborough
Diana Beard,5,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
Dorret Conway,6,53,Accountant,"Penwortham, Lancashire"
Edd Kimber,1,24,Debt collector for Yorkshire Bank,Bradford
Enwezor Nzegwu,5,39,Business Consultant,"Portsmouth, Hampshire"
Flo Atkins,8,71,Retired,Merseyside
Flora Shedden,6,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
Frances Quinn,4,31,Children's Clothes Designer,"Market Harborough, Leicestershire"
Glenn Cosby,4,37,English Teacher,"Teignmouth, Devon"
Helena Garcia,10,40,Online project manager,Leeds
Henry Bird,10,20,Student,Durham
Holly Bell,2,31,Advertising executive,Leicester
Howard Middleton,4,51,Council Worker,Sheffield
Iain Watters,5,31,Construction Engineer,London/Belfast
Ian Cumming,6,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
Ian Vallance,2,40,Fundraiser for English Heritage,"Dunstable, Bedfordshire"
Imelda McCarron,9,33,Countryside recreation officer,County Tyrone
James Hillery,8,46,Banker,"Brentwood, Essex"
James Morton,3,21,Medical student,"Hillswick, Shetland Islands"
Jamie Finn,10,20,Part-time waiter,Surrey
Jane Beedle,7,61,Garden designer,Beckenham
Janet Basu,2,63,Teacher of Modern Languages,"Formby, Liverpool"
Jasminder Randhawa,1,45,Assistant Credit Control Manager,Birmingham
Jason White,2,19,Civil Engineering Student,Croydon
Jo Wheatley,2,41,Housewife,"Ongar, Essex"
John Whaite,3,22,Law student,Wigan
Jon Jenkins,9,47,Blood courier,Newport
Jonathan Shepherd,1,25,Research Analyst,St Albans
Jordan Cox,5,32,IT Manager,"Sneinton, Nottingham"
Julia Chernogorova,8,21,Aviation Broker,"Crawley, West Sussex"
Karen Wright,9,60,In-store sampling assistant,Wakefield
Kate Barmby,7,37,Nurse,"Brooke, Norfolk"
Kate Henry,5,41,Furniture Restorer,"Brighton, East Sussex"
Kate Lyon,8,29,Health and safety inspector,Merseyside
Keith Batsford,2,31,House husband,"Arlesey, Bedfordshire"
Kim-Joy Hewlett,9,27,Mental health specialist,Leeds
Kimberley Wilson,4,30,Psychologist,London
Lea Harris,1,51,Retired,"Midlothian, Scotland"
Lee Banfield,7,67,Pastor,Bolton
Liam Charles,8,19,Student,North London
Louise Brimelow,1,44,Police Officer,Manchester
Louise Williams,7,46,Hairdresser,Cardiff
Lucy Bellamy,4,38,Horticulturist,"Grimsby, Lincolnshire"
Luis Troyano,5,42,Graphic Designer,"Poynton, Cheshire"
Luke Thompson,9,30,Civil servant/house and techno DJ,Sheffield
Manisha Parmar,3,27,Nursery nurse,Leicester
Manon Lagrave,9,26,Software project manager,London
Marie Campbell,6,66,Retired,"Auchterarder, Perthshire"
Mark Onley,4,37,Carpenter and Kitchen Fitter,Milton Keynes
Mark Whithers,1,48,Bus Driver,South Wales
Martha Collison,5,17,Student,"Ascot, Berkshire"
Mary-Anne Boermans,2,45,Housewife,"Kidderminster, Worcestershire"
Mat Riley,6,37,Fire fighter,London
Michael Chakraverty,10,26,Theatre manager/fitness instructor,Stratford-upon-Avon
Michael Georgiou,7,20,Student,Durham
Michelle Evans-Fecci,10,35,Print shop administrator,"Tenby, Wales"
Miranda Browne,1,37,Food buyer for Marks & Spencer,"Midhurst, West Sussex"
Nadiya Hussain,6,30,Full-time mother,Leeds / Luton
Nancy Birtwhistle,5,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
Natasha Stringer,3,36,Midwife,"Tamworth, Staffordshire"
Norman Calder,5,66,Retired Naval Officer,"Portknockie, Moray"
Paul Jagger,6,49,Prison governor,"Swansea, Wales"
Peter Abatan,8,52,IT programme manager,"Southend, Essex"
Peter Maloney,3,43,Sales manager,"Windsor, Berkshire"
Phil Thorne,10,56,HGV driver,Rainham
Priya O'Shea,10,34,Marketing consultant,Leicester
Rahul Mandal,9,30,Research scientist,Rotherham
Rav Bansal,7,28,Student support,Erith
Richard Burr,5,38,Builder,"Mill Hill, London"
Robert Billington,2,25,Photographer,London
Robert Smart,4,54,Space Satellite Designer,"Melbourn, Cambridgeshire"
Rosie Brandreth-Poynter,10,28,Veterinary surgeon,Somerset
Ruby Bhogal,9,29,Project manager,London
Ruby Tandoh,4,20,History of Art and Philosophy Student,"Southend, Essex"
Ruth Clemens,1,31,Retail manager/Housewife,"Poynton, Cheshire"
Ryan Chong,3,38,Photographer,Bristol
Sandy Docherty,6,49,Child welfare officer,"Yeadon, West Yorkshire"
Sarah-Jane Willis,3,28,Vicar's wife,"Bewbush, West Sussex"
Selasi Gbormittah,7,30,Client service associate,London
Simon Blackwell,2,31,Rugby Coach,Norfolk
Sophie Faldo,8,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey Hart,8,42,Former school teacher,"Radlett, Hertfordshire"
Steph Blackwell,10,28,Shop assistant,Chester
Steven Carter-Bailey,8,34,Marketer,"Watford, Hertfordshire"
Stu Henshall,6,35,Professional musician,"Guildford, Surrey"
Stuart Marston-Smith,3,26,PE teacher,"Lichfield, Staffordshire"
Tamal Ray,6,29,Trainee anaesthetist,Manchester
Terry Hartill,9,56,Retired air steward,West Midlands
Toby Waterworth,4,30,Web Programmer,"Reading, Berkshire"
Tom Gilliford,7,26,Project engagement manager,Rochdale
Tom Hetherington,8,29,Architect,Edinburgh
Ugnė Bubnaityte,6,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Urvashi Roe,2,40,Head of Marketing,"Enfield, London"
Val Stones,7,66,"Semi-retired, Substitute teacher",Yeovil
Victoria Chester,3,50,CEO of the charity Plantlife,Somerset
Yasmin Limbert,2,43,Childminder,"West Kirby, The Wirral"
