Series,Episode,Baker,Signature Bake,Show Stopper
1,1,Annetha,Light Jamaican Black Cakewith Strawberries and Cream,"Red, White & Blue Chocolate Cake with Cigarellos, Fresh Fruit, and Cream"
1,1,David,Chocolate Orange Cake,"Black Forest Floor Gateauxwith Moulded Chocolate Leaves, Fallen Fruitand Chocolate Mushrooms Moulded from eggs"
1,1,Edd,Caramel Cinnamon and Banana Cake,N/A
1,1,Jasminder,Fresh Mango and Passion Fruit Hummingbird Cake,N/A
1,1,Jonathan,Carrot Cake with Lime and Cream Cheese Icing,Three Tiered White and Dark Chocolate with Almond and Cherry
1,1,Lea,Cranberry and Pistachio Cakewith Orange Flower Water Icing,Raspberries and Cream filled Chocolatewith Chocolate-dipped Fresh Fruit
1,1,Louise,Carrot and Orange Cake,"Never Fail Chocolate Sponge Cake,with Fresh Fruit, White & Chocolate Cigarello Border"
1,1,Mark,Sticky Marmalade Tea Loaf,Heart-shaped Chocolate and Beetroot Cake with Store-Bought silver chocolate hearts and chocolate red and white roses.
1,1,Miranda,"Triple Layered Brownie Meringue Cake
with Raspberry Cream",Three Tiered Chocolate Fudge Cake  with Handmade Chocolate Button Decorations
1,1,Ruth,Three Tiered Lemon Drizzle Cakewith Fresh Cream and freshly made Lemon Curd,Classic Chocolate Sponge wrapped in a Chocolate Collartopped with Handmade White and Dark Chocolate Truffles
1,2,Annetha,Rose Petal Shortbread,Pink Swirl Macarons / Eclairs
1,2,David,Cheddar Cheese and Fresh Rosemary Biscuits,Choux Pastry Swans  Chocolate Profiteroles
1,2,Edd,Oatmeal Raisin Cookie,Pink Macarons
1,2,Jasminder,Millionaires' Shortbread,Meringues with Chocolate and Space DustCoffee flavoured Eclairs
1,2,Jonathan,Honey and Candied Ginger Cookies,Meringues with Whiskey Cream
1,2,Louise,Stained Glass Window Shortbread,"Strawberry, Mint, and Cream Meringues  Chocolate Eclairs / Orange, Yellow and Pink Macarons"
1,2,Miranda,Fresh Vanilla Biscuits with Royal Icing,Pistachio Macarons
1,2,Ruth,Peanut Shortbread withSalted Peanut Caramel,Almond Macaron with Violet ButtercreamRaspberries and Cream Eclairs
1,3,David,Chilli Bread,"Walnut and Seed Roll
Red Berry and Almond Bun"
1,3,Edd,Olive Bread,Tomato and Mozzarella
1,3,Jasminder,Focaccia,"Mango and Sultana Buns
Pan au Chocolat with Mars Bars
Tutti Frutti Wheel with Jelly Tots"
1,3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread","Sticky Lemon Honey Bun
Olive and Anchovy Roll
Sundried Tomatoes and Fresh Herbs Roll
Stilton, Walnut and Apple Roll
Cinnamon and Cardamom Chelsea Bun"
1,3,Miranda,Walnut and Apricot Bread,"Lemon Iced Buns
Chocolate and Orange Buns"
1,3,Ruth,Maple and Pecan Bread,"Chocolate and Orange Panettone
Cranberry Bagels"
1,4,David,Pear and Walnut Pudding,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear"
1,4,Edd,Apple and Plum Pudding,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer"
1,4,Jasminder,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble"
1,4,Miranda,Sticky Toffee Pudding,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble"
1,4,Ruth,Peach and Blueberry Boy Bait,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings"
1,5,Edd,"Chicken, Ham, Leek and Tarragon Pie","Almond Sweet Pastry with Ginger and Chocolate  Raspberry Tart / Yorkshire Curd Tart  Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés"
1,5,Jasminder,Chicken and Mushroom Pie,"Jaggery, Carrot, and Spiced Condensed Milk Tart  Fruit and Custard Tart  Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés"
1,5,Miranda,"Summery Salmon, Cod and Prawn Fish Pie","Chocolate Pastry filled with Orange Cheesecake  Chocolate Pastry filled with Milk Chocolate Ganche  Strawberry Tart with Red Currant Glaze  Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés"
1,5,Ruth,Minced Beef Pie,"Raspberry and Dark Chocolate Tart  Creme Patisserie and Cherry Tart  Citrus Curd Tart with Creme Brulee top  Tomato, Asparagus Twirl Canapés"
1,6,Edd,Cinnamon and Banana Cake,
1,6,Miranda,Lemon Cupcake,Eliminated after signature
1,6,Ruth,"Mint, Ginger and Blackberry Cake",
2,1,Ben,Rhubarb and Custard CupcakesAfter Dinner Cupcakes,Vanilla Sponge with White Chocolate and Raspberry Buttercream
2,1,Holly,Cherry Bakewell Inspired CupcakesGinger Cupcakes with Fig Truffle,UNKNOWN
2,1,Ian,Apple and Cinnamon Cupcakes,UNKNOWN
2,1,Janet,Raspberry and Cream Cupcakes,Chocolate Marble Cakewith Dark and White Chocolate Truffles
2,1,Jason,Lemon Meringue CupcakesApple and Cinnamon Cupcakes,UNKNOWN
2,1,"""Jo""",Chocolate Orange CupcakesOrange and Cardamom Cupcakes,Chocolate and Strawberry Cake
2,1,Keith,Earl Grey Cupcakes,Chocolate and Sour Cream Cake
2,1,Mary-Anne,Banoffee Cupcakes,Chocolate and Raspberry Opera cake
2,1,Robert,Blackberry and Vanilla Cupcakeswith Liquorice Frosting,Genoise Layered Mousse Cakewith Chocolate Ganache
2,1,Simon,Guinness and Chocolate Cupcakes,Two-Tiered Chocolate Courgette Cake
2,1,Urvashi,Cherry Blossom CupcakesJapanese Lime Cupcakes,UNKNOWN
2,1,Yasmin,Cardamom and Pomegranate Cupcakes,UNKNOWN
2,2,Ben,"Chorizo, Pepper and Gruyere Quiche",Lemon Meringue Tarts
2,2,Holly,Pesto Quiche,Milk Chocolate and Pistachio TartsTrifle Tarts
2,2,Ian,"Stilton, Spinach and New Potato Quichewith Paprika and Walnut Pastry",UNKNOWN
2,2,Janet,Quiche Printanière,Red Fruit TartsChocolate and Cherry Tarts
